Geneid gene_name HFD_1 HFD_2 HFD_3 LFD_1 LFD_2 LFD_3
ENSMUSG00000037708.17 Spag6 2 5.5 3 4 3 0
ENSMUSG00000092353.2 Gm3363 2 7.5 1 5 6 4
ENSMUSG00000081139.2 Gm13333 1 3 0 5.67 3.33 2
ENSMUSG00000120749.1 ENSMUSG00000120749 4 18 5 18 6 4
ENSMUSG00000097638.2 Carlr 0 0 0 0 0 0
ENSMUSG00000026737.13 Pip4k2a 741 762 262 1186 865 993
ENSMUSG00000026736.4 4930426L09Rik 9 8 2 10 4 14
ENSMUSG00000083281.2 Gm13332 0 4 3 2 4.5 4
ENSMUSG00000037683.15 Armc3 4 3 0 5 2 3
ENSMUSG00000087674.9 4930447M23Rik 5 2 0 4 3 2
ENSMUSG00000023094.15 Msrb2 482 454 374 186 193 91
ENSMUSG00000109733.2 Gm33940 0 0 0 0 0.5 0
ENSMUSG00000087103.2 Gm13344 0 0 0 0 0.5 0
ENSMUSG00000085388.2 Ptf1aos 0 0 0 0 0 0
ENSMUSG00000026735.3 Ptf1a 0 0 0 0 0 0
ENSMUSG00000056329.5 1810010K12Rik 0 0 0 0 0 0
ENSMUSG00000026734.10 4921504E06Rik 0 0 0 0 0 0
ENSMUSG00000084160.2 Gm13345 0 0 0 0 0 0
ENSMUSG00000086621.2 Gm13348 0 0 0 0 0 0
ENSMUSG00000080227.3 Gm13343 0 0 0 0 0 0
ENSMUSG00000043415.6 Otud1 125 137 97 169 140 152
ENSMUSG00000087246.2 Gm13346 0 1 0 2 0.5 0
ENSMUSG00000083893.2 Gm13347 0 0 0 1 0.5 0
ENSMUSG00000077342.3 Gm24670 0 0 0 0 0 0
ENSMUSG00002075867.1 Gm56106 0 0 0 0 0 0
ENSMUSG00000036617.18 Etl4 302 1028.5 406.5 760 855 355.5
ENSMUSG00002076568.1 Gm56130 0 0 0 0 0 0
ENSMUSG00000083777.2 Gm13361 3 1.5 3.5 4.5 7 2.5
ENSMUSG00000060795.6 Gm13363 233.38 121.6 222.68 86.4 102.42 49.8
ENSMUSG00000082164.2 Gm13360 1 0 0 0 0 0
ENSMUSG00000081128.2 Gm13328 81 98 76.5 62.5 44.5 34
ENSMUSG00000118880.1 Gm23970 0 0 0 0 0 0
ENSMUSG00000091457.2 Gm17171 0 0 0 0 0 0
ENSMUSG00000085477.8 Gm13335 0.4 2.2 0.6 2.2 1 0.8
ENSMUSG00002076489.1 Gm56138 4 5.5 0 7.5 2 0
ENSMUSG00000121268.1 ENSMUSG00000121268 0 8 0 8 5 0
ENSMUSG00000086418.2 Gm13362 8 28 17.5 17.5 17 5.5
ENSMUSG00000036591.17 Arhgap21 1284 1214 1053 1081 1859 2772
ENSMUSG00000085206.2 Gm13380 6 8 2 12 15 12
ENSMUSG00000075514.6 Gm13375 37 26.5 48 23.5 47 35
ENSMUSG00000120769.1 ENSMUSG00000120769 7 5.5 11 7.5 11 11
ENSMUSG00000086821.4 Gm13377 0 0 0 0 0 0
ENSMUSG00000087219.2 Gm13376 0 0 0 0 0 0
ENSMUSG00002075392.1 Gm56168 0 0 0 0 0 0
ENSMUSG00000026679.4 Enkur 3 4 1 10 10 25
ENSMUSG00002076042.1 Gm56169 0 0 0 0 0 0
ENSMUSG00000048550.18 Thnsl1 152 154 185 136 172 94
ENSMUSG00000084071.2 Gm13378 36 44.5 31.5 50.5 38.5 34.5
ENSMUSG00000085680.2 Gm13327 0 0 0 0 0 0
ENSMUSG00000045967.12 Gpr158 0 0 0 0 0 0
ENSMUSG00000080846.2 Gm13379 3.2 3.7 2.4 5.6 5.4 5.6
ENSMUSG00000077572.3 Gm24886 0 0 0 0 0 0
ENSMUSG00000081467.2 Gm13337 3.73 2.6 12.07 1.43 8.12 3.25
ENSMUSG00000025716.15 Myo3a 0 0 0 0 0 0
ENSMUSG00000082516.2 Gm13342 3.7 0.4 1.7 3.4 2 1.5
ENSMUSG00000083863.2 Gm13341 25776.27 18551.05 11584.32 8661.04 7284.22 2634.13
ENSMUSG00000083563.2 Gm13340 83959.54 70598.27 45462.09 39476.11 33580.65 12953.1
ENSMUSG00000082884.2 Gm13339 3116.67 2134.83 1059.33 843.5 743.83 132.5
ENSMUSG00000026787.4 Gad2 0 0 0 0 0 0
ENSMUSG00000106199.3 Mir3967 0 0 0 0 0 0
ENSMUSG00002076064.1 Gm56175 0.5 0 0 0 0 0
ENSMUSG00000083453.2 Gm13338 0 0 0 0 0 0
ENSMUSG00000085353.3 1700092C17Rik 0 0 0 0 1 2
ENSMUSG00000083057.2 Gm13356 0 0 0 0 0 0
ENSMUSG00000120964.1 ENSMUSG00000120964 3 2.5 0 9.5 2 3.5
ENSMUSG00000026786.15 Apbb1ip 475 547.5 179 1244.5 806 1108.5
ENSMUSG00000069136.5 A130006I12Rik 3 7 8.5 10 3 3
ENSMUSG00000026784.15 Pdss1 181.5 289.5 152.5 269 166 164.5
ENSMUSG00002076724.1 Gm56180 0 1 0 1 2 1
ENSMUSG00000081861.2 Gm14441 4 10 1 2 6 4
ENSMUSG00000058835.15 Abi1 1489.5 1962.5 986 2684 1551 1863.5
ENSMUSG00000083650.2 Gm13357 6 17 1 28 20 10
ENSMUSG00000026781.18 Acbd5 1678.5 1757 1673 1416 1612.5 1018
ENSMUSG00000026779.7 Mastl 139 187.2 30.2 300 115.2 427.03
ENSMUSG00000026775.10 Yme1l1 2575 2741 2719 3075 2772 2523.5
ENSMUSG00000081648.2 Gm13423 0 7 5 8 9 9
ENSMUSG00000026774.12 Potegl 0 0 0 1 1 0
ENSMUSG00000084098.2 Gm13422 73.5 66.5 88 80 101.5 77
ENSMUSG00000069132.4 Nxph2 0 0 0 1 0 1
ENSMUSG00000102704.2 Gm38309 4 22 9 23 28 20
ENSMUSG00000026771.15 Spopl 794.45 1053.5 736.32 1135.32 1051.72 863.02
ENSMUSG00000081519.2 Gm13331 104.42 112.67 119.67 128.46 105.58 111.08
ENSMUSG00000083729.2 Sh3d2c-ps1 0 0 0 0 0 0
ENSMUSG00002075040.1 Gm56256 0 0 0 0 0 0
ENSMUSG00000083373.2 Gm13392 22.5 11 7.5 14 7.5 5.5
ENSMUSG00000026986.15 Hnmt 332 206 496 136 427 138
ENSMUSG00000061809.9 Tbpl2 0 0 0 0 0 0
ENSMUSG00000026985.2 Il36b 0 0 0 0 0 0
ENSMUSG00000083116.2 Gm13410 76.5 74.5 94.5 80 140 94.5
ENSMUSG00000044103.5 Il36g 22.5 9 0.2 64.23 1 22.5
ENSMUSG00000026984.5 Il36a 0 0 0 2 0 0
ENSMUSG00000104173.2 Gm37703 0 0 0 0 0 0
ENSMUSG00000083172.2 Gm13409 0 0 0 1 0 0
ENSMUSG00000026983.11 Il36rn 0 0 0 0 0 0
ENSMUSG00000046845.2 Il1f10 0 0 0 0 0 0
ENSMUSG00000085999.2 Gm13411 0 0 0 0 0 0
ENSMUSG00000026981.16 Il1rn 678 865 3 1299 91 131
ENSMUSG00000026979.17 Psd4 343 499 48 963 193 296
ENSMUSG00000026976.16 Pax8 0 0 0 0 0 0
ENSMUSG00000085057.8 Gm13415 0 0 2 0 0 11
ENSMUSG00000099120.2 Gm27193 0 0 0 0 0 0
ENSMUSG00000082307.4 Gm13418 0.2 0.2 0 0.8 0.2 0
ENSMUSG00000085330.2 Gm13417 0 0 0 0 0 0
ENSMUSG00000102591.2 Gm38383 0.2 0.6 1.5 8.1 2.53 1.3
ENSMUSG00000084241.2 Gm13416 79 88.5 63 64 94 75.5
ENSMUSG00002076315.1 Gm56283 0 0 0 0 0 0
ENSMUSG00000004113.19 Cacna1b 17 16 5 34 10 9
ENSMUSG00000083973.2 Gm13459 0 0 0 1 1 0
ENSMUSG00000036893.18 Ehmt1 725 838.5 737 1018.5 1098.5 1072
ENSMUSG00000103162.2 Gm38147 11 19 14 25 29 22
ENSMUSG00000102875.2 Gm37139 37 58.5 18.2 51.7 60.5 56
ENSMUSG00000026972.16 Arrdc1 190 202 80 355 187 281
ENSMUSG00002075034.1 Gm56339 0 0 0 0 0 0
ENSMUSG00000026974.12 Zmynd19 187 196 194 260 186 251
ENSMUSG00000026975.11 Dph7 70 95 128 113 107 112
ENSMUSG00000036850.5 Mrpl41 391.5 347 587 306.5 385 187.5
ENSMUSG00000036833.17 Pnpla7 530 598 397 790 887 724
ENSMUSG00000084383.2 Gm13370 170.2 188.05 173.8 232.7 198 227.16
ENSMUSG00000083796.4 Gm13369 6.4 3.8 3.4 5.5 9.9 6.3
ENSMUSG00000118741.1 Gm25518 0 0 0 1 1 1
ENSMUSG00000089513.4 Gm24875 0 2 0 6 4 0
ENSMUSG00000006476.20 Nsmf 306 418 360 473 459 661
ENSMUSG00002075528.1 Gm56360 0 0 1 0 1 3
ENSMUSG00000099320.3 Mir7664 0 1 0 0 0 0
ENSMUSG00000121260.1 ENSMUSG00000121260 0 0 1 0 0 1
ENSMUSG00000036813.12 Entpd8 0 0 0 0 0 1
ENSMUSG00000036805.14 Noxa1 0 0 0 0 0 0
ENSMUSG00000118563.2 Gm53031 0 1 0 2.5 2.5 2.5
ENSMUSG00000087028.8 Gm13387 3.2 7.2 0.5 11.7 4.7 6.9
ENSMUSG00000078202.4 Nrarp 59 67 32 142.33 35.5 85.5
ENSMUSG00000103217.2 Gm38287 38 48 22 88.33 22.5 56.5
ENSMUSG00000059555.7 Tor4a 413 579 147 868.33 299 394
ENSMUSG00000013465.20 Nelfb 634 799 719 1024.33 801 836
ENSMUSG00000064919.3 Gm22572 0 7 1 5 5 4
ENSMUSG00000036770.12 Stpg3 2 1 0 0.5 0 2
ENSMUSG00000026969.4 Fam166a 199.5 217.25 300 212.17 169 156.75
ENSMUSG00000036752.5 Tubb4b 2446.17 2410.67 3808 2291.83 1981.08 1921.25
ENSMUSG00000006469.14 Slc34a3 0 0 0 0 0 0
ENSMUSG00000089953.4 Rnf224 0 0 0 0 0 0
ENSMUSG00000036731.8 Cysrt1 0 0 0 0 0 0
ENSMUSG00000044628.6 Rnf208 2 3 0 0 2 0
ENSMUSG00000115018.3 Ndor1 34.5 49.83 35.33 60.67 47.83 43.83
ENSMUSG00000006471.19 Ndor1 194 220.83 166.33 268 241.33 205.83
ENSMUSG00000115074.2 Ndor1 88 95.33 69.33 128.17 113.83 105.33
ENSMUSG00000078201.6 Tmem203 71.5 66 70 54.83 74 53
ENSMUSG00000048707.10 Tprn 96 105 67 122 74 118
ENSMUSG00000026966.7 Ssna1 281 295 256 390 253 384
ENSMUSG00000026965.13 Anapc2 727 728 640 837.5 929 1172
ENSMUSG00000026963.5 Tmem210 0 0 0 0 0 0
ENSMUSG00000026961.7 Lrrc26 0 0 1 0 0 0
ENSMUSG00000026959.14 Grin1 0 2 0 1 2 2
ENSMUSG00000085830.2 Grin1os 0 2 1 2 3 2
ENSMUSG00000036646.14 Man1b1 915 1151 910 1400 1093 1546
ENSMUSG00002075003.1 Gm56398 1 1 0 3 4 4
ENSMUSG00000026958.14 Dpp7 372 700 327 750 414 379
ENSMUSG00000120059.1 ENSMUSG00000120059 3 10.4 2.2 9.2 2.7 8.33
ENSMUSG00000026956.16 Uap1l1 425 666 140 1024 406 543
ENSMUSG00000026955.14 Sapcd2 15 26 1 32 7 71
ENSMUSG00000015085.9 Entpd2 129 164 397.5 65 698.75 158.5
ENSMUSG00000015094.17 Npdc1 511 508 856.5 422 943.25 888.5
ENSMUSG00000036587.14 Fut7 14 22 0 25 8 11
ENSMUSG00000026944.19 Abca2 1635 1308.5 2707.5 788 1779 779
ENSMUSG00000104741.3 Mir3087 0 0.5 0.5 0 0 0
ENSMUSG00000047617.12 Paxx 421 327 353 156 234 163
ENSMUSG00000015093.16 Clic3 13 25 15 23 20 16
ENSMUSG00000015090.14 Ptgds 41 112 27 13 26 9
ENSMUSG00000120226.1 ENSMUSG00000120226 1 2 2 0 0 0
ENSMUSG00000026943.13 Lcn12 0 0 0 0 0 0
ENSMUSG00000015083.12 C8g 60 67 43 49 41.5 22
ENSMUSG00000015095.13 Fbxw5 855 883 1037 666 729.5 462
ENSMUSG00000026942.14 Traf2 335 474.2 218.4 561.8 294.6 408.2
ENSMUSG00000083043.2 Gm13433 2 6 1 9 7 5
ENSMUSG00000083528.2 Gm13432 0 0 0 1 0 0
ENSMUSG00000015092.10 Edf1 1944 1949.5 2085 1705 1198 1025.5
ENSMUSG00000026941.17 Mamdc4 142.5 187.83 167 197.17 189.5 106
ENSMUSG00000036504.7 Phpt1 169 161.33 208 117.17 145.5 78
ENSMUSG00000029419.9 Ajm1 4.5 5.83 2 2.67 1 4
ENSMUSG00000015087.15 Rabl6 894 1082 1049.5 1170.5 1078.6 1088.5
ENSMUSG00000052403.12 Fcnaos 24 101.5 79 28.5 79.5 45
ENSMUSG00000121241.1 ENSMUSG00000121241 3.5 2.5 4 0.5 4 5
ENSMUSG00000026940.4 Ccdc183 4.5 4.5 4.5 4 11 11.5
ENSMUSG00000026939.13 Tmem141 132 156 152 127 109 110
ENSMUSG00000026938.11 Fcna 200 724.5 553 218.5 609.5 445
ENSMUSG00000118473.2 Lcn15 0 0 0 0 0 0
ENSMUSG00000036449.7 Lcn8 0 0 0 0 0 0
ENSMUSG00000026937.13 Lcn5 0 0 0 0 0 1.5
ENSMUSG00000045684.11 Lcn6 0 0 0 0 0 0.5
ENSMUSG00000047356.3 Lcn10 0 0 0 0 0 0
ENSMUSG00000062061.4 Obp2a 0 0 0 0 0 0
ENSMUSG00000087612.2 A230005M16Rik 9.5 10 62 13.5 17 17
ENSMUSG00000049086.9 Bmyc 22.5 18 116 30.5 35 39
ENSMUSG00000079539.3 Obp2b 0 0 0 0 0 0
ENSMUSG00000026936.5 Lcn3 0 0 0 0 0 0
ENSMUSG00000069080.6 Lcn11 0 0 0 0 0 0
ENSMUSG00000085484.3 Gm13539 0 0 0 0 0 0
ENSMUSG00000090073.2 Gm13538 0 0 0 0 0 0
ENSMUSG00000036401.6 Glt6d1 0 0 0 0 0 0
ENSMUSG00000023210.3 Lcn9 0 0 0 0 0 0
ENSMUSG00000059625.7 Sohlh1 0 0 0 0 0 0
ENSMUSG00000058740.15 Kcnt1 0 1 6 2 11 2
ENSMUSG00000026933.18 Camsap1 388 410.5 392.5 449 490 510
ENSMUSG00000082357.2 Gm13542 1 2 0 0 3 1
ENSMUSG00000036352.17 Ubac1 801.5 752 940.5 581.5 802 486.5
ENSMUSG00000026932.15 Nacc2 1379.5 1101.5 1644.5 820 1450.5 816
ENSMUSG00000087515.2 Gm13554 76.5 63.5 79.5 36 64.5 39
ENSMUSG00000087679.3 Tmem250-ps 1216 1069 1623.5 777 904 762.5
ENSMUSG00000087595.2 1810012K08Rik 114 81 145.5 80 85 84.5
ENSMUSG00000085545.2 Gm13553 0 0 0 0 0 0
ENSMUSG00000026934.16 Lhx3 0 0 0 0 0 0
ENSMUSG00000098977.2 Gm27196 4.5 5 6.5 6 9 5
ENSMUSG00000036327.19 Qsox2 249.5 327 310.5 399 290 412
ENSMUSG00000048038.9 Ccdc187 4 2 8 0 4 0
ENSMUSG00000026930.16 Gpsm1 117 171 92 164.5 225 419.5
ENSMUSG00000075467.5 Dnlz 430 397 539 379.5 360 326.5
ENSMUSG00000026928.15 Card9 137 153 38 374.5 118 220.5
ENSMUSG00000086779.2 Gm13562 10.5 19.5 16 33.5 22 23
ENSMUSG00000036281.14 Snapc4 144.5 220.5 146 326 236 252.5
ENSMUSG00000085767.2 Gm13563 176.5 179.5 235.5 239.1 163.5 178.2
ENSMUSG00000026927.18 Entr1 731.5 727.5 924.5 894.5 657.5 631.5
ENSMUSG00000026926.15 Pmpca 1562 1617 1645.5 1333.5 1258.5 871
ENSMUSG00000026925.17 Inpp5e 434 528 450.5 489.5 452.5 463.5
ENSMUSG00000026924.18 Sec16a 1999 2208 2373.5 2436 2814.5 2894
ENSMUSG00000086714.3 0610009E02Rik 58.5 82.17 78.17 113.67 89.33 97
ENSMUSG00000085543.2 Gm13568 14.5 25.17 15.67 25.17 23.33 30
ENSMUSG00000026923.16 Notch1 938 1490.67 1151.67 2139.17 1557.83 1383.5
ENSMUSG00000098548.3 Mir6996 0 3 0 3 0 0.5
ENSMUSG00000082864.2 Gm13358 0 0 0 0 0 0
ENSMUSG00000026921.21 Egfl7 899.17 2522.33 1059.03 2826 1160.33 991
ENSMUSG00000092356.3 Gm20532 121.33 305 164.17 321.5 145.5 146.5
ENSMUSG00000065540.3 Mir126a 2.67 7.83 2.33 11 7.33 3
ENSMUSG00000105799.3 Mir126b 1.67 5.33 1.33 5 5.33 1
ENSMUSG00000026922.14 Agpat2 12288.5 11076.5 27414.3 2904.5 7155.5 1436.5
ENSMUSG00000121259.1 ENSMUSG00000121259 23.33 17 97.67 5 28 5
ENSMUSG00000036186.6 Dipk1b 265.33 313 464.17 126 130 90
ENSMUSG00000120369.1 ENSMUSG00000120369 164.83 208.2 78.87 245.23 166.12 190.3
ENSMUSG00000097052.4 Snora43 9.33 4 3.17 9.83 3.67 5.5
ENSMUSG00000064858.4 Snora43 9.33 4 2.67 9.33 3.67 5
ENSMUSG00000077192.5 Snora17 16.5 8 5.5 16 8 12
ENSMUSG00000086775.8 Snhg7os 3 1 3 3 3 3
ENSMUSG00000026919.2 Lcn4 0 0 0 0 0 0
ENSMUSG00000082951.2 Gm13359 12 7 6 8 3 1
ENSMUSG00000015787.16 Abo 0 0 0 0 0 0
ENSMUSG00000036160.14 Surf6 207.9 264.5 247.4 384.5 251.9 311.4
ENSMUSG00000015776.13 Med22 557 725 779 677 698 584
ENSMUSG00000062647.17 Rpl7a 1649.43 1548.85 1788.25 2142.41 1558.38 2004.65
ENSMUSG00000065258.3 Gm23969 1 1 1 2 2 5
ENSMUSG00000064829.5 Gm22879 1 2 1 0.5 3 0.5
ENSMUSG00000065295.3 Gm24134 3.5 2 1 4 6.5 3
ENSMUSG00000015790.17 Surf1 560.5 642 720 456 503.5 351
ENSMUSG00000014873.16 Surf2 244 317.5 245 370 250 384.5
ENSMUSG00000014867.10 Surf4 3177.5 3453.5 3274 4394 3417.5 6212.5
ENSMUSG00000049897.15 Stkld1 13 20 10 16 17 11
ENSMUSG00000052406.15 Rexo4 299.5 403 301.5 589 372 412
ENSMUSG00000014852.17 Adamts13 1.8 5.3 1.4 3.8 9.9 1.2
ENSMUSG00000015488.15 Cacfd1 283 276 237 265 348 299
ENSMUSG00000036067.13 Slc2a6 79 113 18 494 88 112
ENSMUSG00000083335.2 Gm13397 0 0 0 0 0 0
ENSMUSG00000087364.2 Gm13398 0 2 0 0 4 0
ENSMUSG00000009214.10 Mymk 0 0 0 1 131 1
ENSMUSG00000036040.15 Adamtsl2 15 32 15 19 39 15
ENSMUSG00000009216.8 Fam163b 1 3 0 0 1 0
ENSMUSG00000085008.2 Dbhos 0 0 0 0.2 1.2 1
ENSMUSG00000000889.9 Dbh 0 0 0 0 1 0
ENSMUSG00000009614.17 Sardh 326.25 288 698 193.5 433.75 280.25
ENSMUSG00000091192.2 Sardhos 17.25 12 26.5 10.5 18.75 11.25
ENSMUSG00000009621.19 Vav2 604 573 382 706 694 689
ENSMUSG00000086669.2 AA645442 1 2 1 5 3 2
ENSMUSG00002075812.1 Gm55252 0 0 0 0 1 0
ENSMUSG00000109946.2 Brd3os 26 21 24 20 16 38
ENSMUSG00000026918.17 Brd3 688.5 848.5 456 660 686 872
ENSMUSG00000098812.3 Mir7578 6.5 9.5 2 12 7 6
ENSMUSG00000026917.16 Wdr5 462 531 403 718 440 623
ENSMUSG00000080538.3 Gm25541 10 7 10 11 14 7
ENSMUSG00000085929.3 Gm13421 24.33 20.5 15 21.45 32.7 18.35
ENSMUSG00000120033.1 ENSMUSG00000120033 0 1 0 0 0 0
ENSMUSG00000120577.1 ENSMUSG00000120577 0 0 0 0 0 0
ENSMUSG00000015846.16 Rxra 1731 1563 4169 1632 3259 2069
ENSMUSG00000085766.2 2810430I11Rik 158 140 63 140 160.5 714.5
ENSMUSG00000026837.17 Col5a1 13734.5 12109.5 4908 11646.5 16479.5 54597
ENSMUSG00000086560.2 Gm13372 204.5 174.5 65 167.5 201 674.5
ENSMUSG00000026835.16 Fcnb 0 4 1 6 0 1
ENSMUSG00000085693.2 Gm13371 0 0 0 0 0 0
ENSMUSG00000086425.9 F730016J06Rik 0 0 0 0 6 5
ENSMUSG00000026833.19 Olfm1 372 336 751 522 611 502
ENSMUSG00000087196.3 Gm13373 3 10 1 9 12 14
ENSMUSG00000035829.14 Ppp1r26 8 6 16 14 14 14
ENSMUSG00000026831.17 Pierce1 1 5 1 0 0 1
ENSMUSG00000035772.12 Mrps2 774 858 668 494 398 283
ENSMUSG00000082895.2 Rpsa-ps9 499.41 515.35 543.08 678.63 537.7 683.78
ENSMUSG00000026829.10 Gbgt1 81 70 57 131 161 155
ENSMUSG00000063611.6 Gm10134 105 118 77 140 189 213
ENSMUSG00000026821.17 Ralgds 787 848 602 1713 1207 1442
ENSMUSG00000026818.6 Cel 0 2 0 3 2 3
ENSMUSG00000087667.9 Gm13381 0 6 2 3 0.5 3.5
ENSMUSG00000026816.15 Gtf3c5 192 252 169 324 191 299
ENSMUSG00000089055.3 Gm22675 0 0 0 0 0 0
ENSMUSG00002075803.1 Gm55466 0 0 0 0 0 0
ENSMUSG00000026815.15 Gfi1b 5 0 2 12 5 9
ENSMUSG00000026812.17 Tsc1 580 681 578 731 885 567
ENSMUSG00000026809.16 Spaca9 18 25 0 24 9 24
ENSMUSG00000026807.9 Ak8 19 27 5 18 21 29
ENSMUSG00000092832.3 Mir3088 0 0 0 0 0 0
ENSMUSG00000082796.2 Gm13385 0 0 0 1 0 0
ENSMUSG00000083115.2 Gm13386 0 0 0 0 0 0
ENSMUSG00000035666.15 Gtf3c4 705 702 689 814 775.5 832
ENSMUSG00000026806.16 Ddx31 158 185 78 316.5 177 225
ENSMUSG00000026805.15 Barhl1 0 9 2 3 4 7
ENSMUSG00000079502.9 Cfap77 0 1 0 2 0 1
ENSMUSG00000083773.5 Gm13394 1065.1 923.07 1713.04 705.37 818.89 530.98
ENSMUSG00000026803.18 Ttf1 297.4 362.6 214.6 419.9 340 345.9
ENSMUSG00000086519.2 Gm13393 0 0 0 0 0 0
ENSMUSG00000082788.2 Gm13396 0 0 0 0 0 0
ENSMUSG00000043535.14 Setx 2068 2402 1665 2582 2428 2479
ENSMUSG00000121194.1 ENSMUSG00000121194 0 2 0.6 0.2 1.6 0.33
ENSMUSG00000035513.20 Ntng2 188 162.5 192 135 162 118
ENSMUSG00000079499.10 6530402F18Rik 324 277.5 338 311 247 187
ENSMUSG00000026799.16 Med27 132.5 133 156.5 196 138 143.5
ENSMUSG00000086994.2 Gm13402 22.5 22 21.5 34 14 19.5
ENSMUSG00002075871.1 Gm55573 0 0 0 0 0 0
ENSMUSG00000098539.3 Mir133c 0 2 0 3 2 0
ENSMUSG00000082413.2 Gm13401 1 0 0 1 1 0
ENSMUSG00000039844.21 Rapgef1 1646 1917 2015.5 1910 2249.5 2109.5
ENSMUSG00000048316.4 Gm9823 55 53 66.5 70 76.5 68.5
ENSMUSG00000079497.5 Gm13420 1 1 0 1 2 2
ENSMUSG00000075425.12 Gm13547 2.5 3.5 10 4 2 3
ENSMUSG00000039826.14 Trub2 345 336 746 340 377.5 313
ENSMUSG00000026798.11 Coq4 234 199 192 162 114.5 97.53
ENSMUSG00000059316.3 Slc27a4 521 571 873 617 589 653
ENSMUSG00000069020.10 Urm1 333 287 226.5 368 259 320
ENSMUSG00000120522.1 ENSMUSG00000120522 1 1 1.5 3 3 2
ENSMUSG00000065485.3 Mir219a-2 0 0 0 1.5 0 0.5
ENSMUSG00000105010.3 Mir219b 0 0 0 0.5 0 0.5
ENSMUSG00000039798.3 2600006K01Rik 20 17 10.5 12 18.5 53.5
ENSMUSG00000039787.14 Cercam 384 373 154.5 231 447 1092
ENSMUSG00000026790.20 Odf2 569 704.5 483.5 883.5 772.5 1201.5
ENSMUSG00002075873.1 Gm55846 9 14.5 7.5 18.5 10.5 17.5
ENSMUSG00000019715.15 Gle1 546 552.5 578 634.5 528.5 623
ENSMUSG00000057738.15 Sptan1 9432.5 10466 8500.5 10531 9051.5 10712.5
ENSMUSG00000098453.3 Mir6997 1.5 1 0.5 1 0.5 2.5
ENSMUSG00000039715.9 Dync2i2 115.67 108 190 117.67 141.67 138.33
ENSMUSG00000054766.14 Set 1640.52 1895 1695.23 2546.2 1513.68 2479.72
ENSMUSG00000026785.15 Pkn3 97 271 69 354 192.5 278.5
ENSMUSG00000015335.17 Zdhhc12 81 85 66 131 71.5 120.5
ENSMUSG00000039686.15 Zer1 483 587 629 433 590 471
ENSMUSG00000039678.13 Tbc1d13 1018 1117 1271 1465 1192 1090
ENSMUSG00000085401.3 Slc39a1-ps 231 193 268.5 298 295.5 353.5
ENSMUSG00000015337.6 Endog 369.5 397.5 288 195 188 135.5
ENSMUSG00000039660.17 Spout1 326.5 348.5 358 313 259 263.5
ENSMUSG00000039648.15 Kyat1 220.5 183 252 129 179 79
ENSMUSG00000100747.5 1700084E18Rik 11.5 14.33 15.83 19.5 16.17 17.33
ENSMUSG00000007476.19 Lrrc8a 493.5 626.33 743.33 799.5 717.92 796.33
ENSMUSG00000099041.2 Gm28035 352.5 462.83 726.33 524 717.92 551.83
ENSMUSG00000079484.13 Phyhd1 98 119.75 320.5 97.58 371 113.5
ENSMUSG00000075419.5 Dolk 785 687 1823 534 1010 430
ENSMUSG00000052533.15 Nup188 736 768 749 1014 694 958
ENSMUSG00000084892.2 Gm14471 38 54 48.5 77 64 62
ENSMUSG00000026860.17 Sh3glb2 968 905 2089.5 847 1683 640
ENSMUSG00000026858.19 Miga2 1790.5 1740 3444 982.5 1490.5 584
ENSMUSG00002076344.1 Gm56186 52 46 88 35.5 48.5 16
ENSMUSG00000026856.15 Dolpp1 250 246 383 328.5 372 304
ENSMUSG00000026853.16 Crat 8865.08 9832.5 9247.08 4289.67 5475.08 1610.5
ENSMUSG00000087435.2 Gm16323 107.92 125 113.58 63.83 90.92 34.5
ENSMUSG00000039515.12 Ptpa 2334.5 2372.5 2807.33 2214 2141 1783
ENSMUSG00000089762.4 Ier5l 127 115 38 221 105 331
ENSMUSG00000085275.2 Gm14487 2 1 0 1 0 0
ENSMUSG00000120657.1 ENSMUSG00000120657 2 3 1 3 1 3
ENSMUSG00000047363.5 Cstad 3 1 2 1 4 3
ENSMUSG00000086405.2 9330198N18Rik 0 0 1 3 0 0
ENSMUSG00000120768.1 ENSMUSG00000120768 0 0 0 0 0 0
ENSMUSG00000087268.2 Gm14486 0 3.5 1 3 1 2
ENSMUSG00000120098.1 ENSMUSG00000120098 0 2.5 3 4 2 3
ENSMUSG00000075416.7 Gm14488 4 5 3 5 6 11
ENSMUSG00000093091.3 Mir3089 1 1 1 1 0 0
ENSMUSG00000044320.15 1700001O22Rik 6 7 7 3 9 5
ENSMUSG00000085491.2 4930527E20Rik 0 0 0 2 1 0
ENSMUSG00000026857.10 Ntmt1 188 198 235 215.5 220 245.5
ENSMUSG00000039483.11 Asb6 219 246 239 286.5 246 317.5
ENSMUSG00000039476.14 Prrx2 57 35 9 25 78 175
ENSMUSG00000050737.14 Ptges 321.5 213.5 2344 240.5 1178.5 614
ENSMUSG00000084143.2 Gm13400 0 1 0 0 2 0
ENSMUSG00000026848.15 Tor1b 695 779 835 1010 853 1057
ENSMUSG00000026849.19 Tor1a 293.5 287 328 407 309 322
ENSMUSG00000026851.10 BC005624 303.5 394.5 333 466.7 398.5 385
ENSMUSG00000026854.17 Usp20 185 235 248 174.5 254 170
ENSMUSG00000075415.14 Fnbp1 1009 1114 953.5 1518.5 1645 1275
ENSMUSG00000121206.1 ENSMUSG00000121206 0 4 2 2 4 2
ENSMUSG00000087269.3 D330023K18Rik 92 108 80.5 53 74 35
