Geneid	gene_name	Foam_1	Foam_2	Foam_3	NonFoam_1	NonFoam_2	NonFoam_3
ENSMUSG00000104612.2	Gm42449	1	0	0	1	1	0
ENSMUSG00000027984.9	Hadh	1992	1698.20	1868.60	940.20	784.20	1469.20
ENSMUSG00000106268.2	Gm18492	0.50	0	0	1.50	1.50	0
ENSMUSG00000027983.14	Cyp2u1	26	46	52	26.00	17	2.20
ENSMUSG00000097761.2	4930534D22Rik	0	1	0	2	0	0
ENSMUSG00000050931.8	Sgms2	253	354.40	390.60	117.60	172.00	19
ENSMUSG00000104754.2	Gm43116	0	0	0	0	0	0
ENSMUSG00000028032.14	Papss1	355	264	452	472	438.20	489
ENSMUSG00000105973.2	Gm42881	0	0	0	1.20	0	0
ENSMUSG00000105331.2	Gm29865	0	0	0	0	0	0
ENSMUSG00000104853.3	Olfr375-ps1	0	0.50	0	0.50	0	0
ENSMUSG00002075251.1	Gm55139	0	0	0	0	0	0
ENSMUSG00000119343.1	Gm22421	0	0	0	0	0	0
ENSMUSG00000028031.7	Dkk2	19.10	5.40	50.00	73.60	7.00	6.85
ENSMUSG00000106280.2	Gm42880	0	0	0	0	0	0
ENSMUSG00002075594.1	Gm55140	0	0	0	0	1	0
ENSMUSG00000091721.5	Gimd1	0	0	0	1	2	0
ENSMUSG00000106313.2	Gm9402	0	2	0	1	1	4
ENSMUSG00000028029.12	Aimp1	1484.50	1602	1199	1122	1198	2214
ENSMUSG00000028030.13	Tbck	2503.23	1720.70	3052.87	2933.40	1886.80	2520.63
ENSMUSG00000105719.2	Gm42872	0	0	0	0	0	0
ENSMUSG00000087776.3	Gm22322	0	0	0	0	0	0
ENSMUSG00000105691.2	Gm42876	0	8	0	1	0	98
ENSMUSG00000106230.2	Gm29811	0	2.50	0	0	5.50	38
ENSMUSG00000106499.2	Gm9403	14.33	4.83	12.67	12.33	16.50	44.00
ENSMUSG00000040998.19	Npnt	21	58	31	59	3	62
ENSMUSG00000089431.4	Gm23196	0	0	0	0	0	0
ENSMUSG00000028018.16	Gstcd	43	12	23	128.25	11.50	60.50
ENSMUSG00000104787.2	Gm19148	0	0	0	0	0	0
ENSMUSG00000105259.2	Gm42874	0	0	0	3.20	0	0
ENSMUSG00000105217.2	Gm42873	0	0	0	1	1	6
ENSMUSG00000028016.10	Ints12	2121	1316	1698	2975.75	2035.50	3187.50
ENSMUSG00000040969.15	Arhgef38	2	0	0	2	2	1
ENSMUSG00000105957.2	Gm43254	0	0	1	5	0	0
ENSMUSG00000028013.17	Ppa2	270	385	338	212	165	417
ENSMUSG00002076298.1	Gm55209	0	0	0	0	0	0.20
ENSMUSG00000040943.13	Tet2	702.70	574.70	727.40	1801.70	1193.50	1450.50
ENSMUSG00000105085.2	Gm42567	0	0	1	6	2	2
ENSMUSG00000105595.2	Gm49316	21	19	13	5	10.50	15.50
ENSMUSG00000077336.3	Gm23011	0	0	0	0	0	0
ENSMUSG00000102530.2	Gm37228	0	0	0	0	0	0
ENSMUSG00000105952.2	Gm40153	0	0	0	2	1	0
ENSMUSG00000106069.3	Gm6135	0	0	0	0	0	1
ENSMUSG00000104645.2	Gm30484	0	0	0	0	0	0
ENSMUSG00000097911.3	Gm26691	0	1	0	4.90	1	1.40
ENSMUSG00002076160.1	Gm55225	0	0	0	0	0	0.20
ENSMUSG00000104556.2	Gm43192	0.20	0	1	0.40	0	0.20
ENSMUSG00000105523.2	Gm43193	0	0	0	4	0	0
ENSMUSG00000106139.3	Gm30648	0	0	0	2	2	0
ENSMUSG00000044365.16	Cxxc4	0	3	1	19.50	1	1
ENSMUSG00000084564.3	Mir1895	0	0	0	0	0	0
ENSMUSG00000104779.2	Gm43559	0	0	0	2	0	1
ENSMUSG00000106628.2	Gm43558	0	0	0	0	0	0.20
ENSMUSG00000104530.2	Gm6077	0	0	0	0	0	0
ENSMUSG00000105765.2	4930539C22Rik	0	0	0	1	0	0
ENSMUSG00000097031.3	Gm26820	0	0	0	0	0	0
ENSMUSG00000028172.6	Tacr3	0	0	0	2	0	1
ENSMUSG00000105559.2	Gm4860	0	0	0	0	1	5.92
ENSMUSG00000106569.2	Gm43036	0	0	0	1	0	0
ENSMUSG00000104539.2	Gm43035	0	0	0	0	0	0
ENSMUSG00000105538.2	Gm2142	0	0	0	0	0	0
ENSMUSG00002075581.1	Gm55241	0	0	0	0.20	0	0
ENSMUSG00000105266.2	Gm18546	0	0	0	0	0	1
ENSMUSG00000106079.2	Gm43033	0	0	0	0	0	0
ENSMUSG00000045328.12	Cenpe	221.33	323	300.17	727.33	505.83	195.67
ENSMUSG00000028167.16	Bdh2	231	215	241	156	126	196
ENSMUSG00000037994.15	Slc9b2	648.20	393	191	503.33	51	179.50
ENSMUSG00000050150.17	Slc9b1	0	2	0	2.20	37	0
ENSMUSG00000028165.10	Cisd2	1403	1294.50	1263	1128	1047.50	1539.50
ENSMUSG00000105981.2	2810428J06Rik	0	0	0	8	0	0.20
ENSMUSG00000105449.2	Gm43379	6	18.20	21.20	18.20	32	45
ENSMUSG00000097032.4	4930539J05Rik	15.50	1	24.50	4.50	8.50	18.50
ENSMUSG00000078578.10	Ube2d3	5112.73	3892.26	4327.41	3612.71	5098.61	6739.68
ENSMUSG00000105404.2	Gm42807	0	0	0	8	0	0
ENSMUSG00000028164.16	Manba	478	670	392	778	607	759
ENSMUSG00000083045.2	Gm16100	0.20	0.50	0	1	0	0
ENSMUSG00000083610.2	Oaz2-ps	9.17	6.83	4	3.83	18.67	0
ENSMUSG00000028163.18	Nfkb1	147	485	447.20	1253	1049	1036
ENSMUSG00000106149.2	Gm43430	19	6	2	103	91	121
ENSMUSG00000053897.16	Slc39a8	80	128	83	157	14	15
ENSMUSG00000106306.5	4933401H06Rik	0	1	0	0	0	2
ENSMUSG00000106290.2	Gm43429	0	0	0	2	0	0
ENSMUSG00000105681.2	Gm43428	12	0	10	0	2	1
ENSMUSG00000106141.2	Gm18330	0	0	0	1	0	0
ENSMUSG00000104710.2	Gm31243	0	0	0	2	1	0
ENSMUSG00000105937.2	Gm43602	0	0	1	0	1	1
ENSMUSG00000105244.2	Gm5281	0	0	0	1.50	2	0
ENSMUSG00000037922.14	Bank1	0	10	1	17	98	61
ENSMUSG00000105869.2	Gm9408	0	0	0	0	0	0
ENSMUSG00000106363.2	Gm43402	0	0	0	0	0	0
ENSMUSG00000099508.2	1700030L20Rik	0	0	0	0	0.20	0
ENSMUSG00000120358.1	ENSMUSG00000120358	0	0	0	3	1	0
ENSMUSG00000028161.18	Ppp3ca	2120	2097	2581	2695	2712	3981.50
ENSMUSG00000106596.2	Gm42822	0	0	0	45	0	0
ENSMUSG00000105545.2	4930599N24Rik	0	0	0	1	1	0
ENSMUSG00002076866.1	Gm55387	0	0	0	0	0	0
ENSMUSG00000106398.2	Gm43357	0	0	0	1	0	4
ENSMUSG00000105327.2	Gm9409	75.03	68.63	44.28	47.65	78.97	119.70
ENSMUSG00000104617.2	Gm43356	0	0	0	1	1	0
ENSMUSG00000119741.1	Gm26107	0	0	0	0	0	0
ENSMUSG00000104610.2	Gm567	0	0	0	0	0	0
ENSMUSG00000054690.18	Emcn	0	0	1	3	3	1
ENSMUSG00000055138.11	Gm4861	0	1	0	0	0	0
ENSMUSG00002076808.1	Gm55395	0	0	0	0	0	0
ENSMUSG00000046818.8	Ddit4l	12	0	0	9	2	0
ENSMUSG00000105325.2	Gm30946	0	0	0	0	1	1.17
ENSMUSG00000094856.2	Gm21962	0	0	0	1.00	0.60	0.80
ENSMUSG00000106122.2	Gm42610	0	1	0	0	0	0
ENSMUSG00000064460.3	Gm25080	0	1.20	0	0.20	0	0
ENSMUSG00000099011.3	Mir6380	0	0	0	0	0	0
ENSMUSG00000105427.2	Gm31678	0	0	0	0	0	0
ENSMUSG00000105676.2	Gm43403	0	1	0	10	10	0
ENSMUSG00000037894.14	H2az1	16882.60	12022.76	10930.21	17252.71	18690.68	31008.00
ENSMUSG00000074212.8	Dnajb14	919.94	913.00	873.87	709.64	792.17	837.58
ENSMUSG00000106629.2	Gm40155	0	0	0	1	0	21
ENSMUSG00000105748.2	Gm43088	2	14.40	29.60	30.20	2.40	26.40
ENSMUSG00000081829.2	Gm15460	7.49	5.35	4.97	9.19	10.57	36.53
ENSMUSG00002076447.1	Gm55405	4.50	7	8.50	5	8.50	4.50
ENSMUSG00000104675.3	Gm43689	0	0	0	0	1	0
ENSMUSG00000091512.6	Lamtor3	5736	5127.67	5509	3233	2935	4170.50
ENSMUSG00000028159.15	Dapp1	567.50	329	476	1128.50	786	998
ENSMUSG00000105296.3	Gm19708	0	2	0	1	1	0
ENSMUSG00000049349.4	Gm5105	0	0	0	5.50	0	2
ENSMUSG00000090066.3	1110002E22Rik	1	0	0	9.50	4	2
ENSMUSG00000028158.15	Mttp	27	27	7.50	30.50	9.50	72
ENSMUSG00000104776.2	Gm43691	2	0	0	0.50	0	0
ENSMUSG00000004127.13	Trmt10a	49.50	108.90	116.03	118.73	102.20	112.65
ENSMUSG00000012042.10	4930579F01Rik	0	1	0	4	0	0
ENSMUSG00000099146.8	0610031O16Rik	0	1	2	0	1	0
ENSMUSG00000055301.9	Adh7	0	1	0	0	3	1
ENSMUSG00000074207.11	Adh1	2.50	1	2	3	7.50	1
ENSMUSG00000089635.2	Gm16559	0	0.50	0	1	0.50	0
ENSMUSG00000053054.14	Adh6a	0	0	0	2	1	0
ENSMUSG00000074206.8	Adh6b	1	0	0	8	1	2.50
ENSMUSG00000087752.3	Gm23467	0	0	0	0	0	0.50
ENSMUSG00000121473.1	Adh6-ps1	0.25	0.25	0	4	1	0
ENSMUSG00000090306.8	Adh6-ps1	0.25	0.25	0	1	0	0
ENSMUSG00000037797.15	Adh4	0	0	0	3	0	0
ENSMUSG00000120904.1	ENSMUSG00000120904	0	0	0	0	0	0
ENSMUSG00000028138.9	Adh5	3681	2929.20	2896	2161.20	2782.50	3041
ENSMUSG00000005813.13	Metap1	231	294	200	329	622	358
ENSMUSG00000105751.2	Gm43724	0	0	0	0	0	0
ENSMUSG00000106462.2	Gm43725	0	0	0	0	0	0
ENSMUSG00000028156.13	Eif4e	5227.00	4854.66	4534.75	3785.83	4796.33	6225.16
ENSMUSG00000088373.5	Mir1956	0.50	0	0	1.50	5.50	1
ENSMUSG00000106353.2	Gm43726	5.80	4.60	5.20	3.80	5.40	7.40
ENSMUSG00000104680.2	Gm9415	0	0	0	4	0	0
ENSMUSG00000105396.2	Gm6057	0	0	1	0	0	0
ENSMUSG00000105126.2	Gm43723	0	0	0	0	0	0
ENSMUSG00000105838.2	4930425O10Rik	0	0.25	0.25	0	1	0.25
ENSMUSG00000028152.11	Tspan5	205	235	241	108	182	16
ENSMUSG00000086123.4	Gm16060	85.93	78.40	55.10	45.78	58.80	118.20
ENSMUSG00000028149.13	Rap1gds1	850	912	575	831	865	919
ENSMUSG00000104724.2	Gm43162	0	3	12	9	35	0
ENSMUSG00000120160.1	ENSMUSG00000120160	0	0	0	0	2	0
ENSMUSG00000090801.2	Gm4862	0	0	1	0	0	0
ENSMUSG00000047940.14	Stpg2	1	0	0	2	0	0
ENSMUSG00000104992.2	Gm43163	0	0	0	0	0	0
ENSMUSG00000119200.1	Gm24260	0	0.20	0.20	0.20	0.20	0
ENSMUSG00000106574.2	Gm2451	828.99	584.24	709.99	304.33	565.64	729.22
ENSMUSG00000106505.2	Gm32693	0	0	0	5	1	0
ENSMUSG00000105880.2	Gm43678	0	0	0	0.40	0	0.20
ENSMUSG00000099169.3	Mir7j	0	0	0	0	0	0
ENSMUSG00000105180.2	Gm4863	0	1	0	0	0	0
ENSMUSG00000106207.2	Gm19184	0	0	0	0	0	0
ENSMUSG00000104596.2	Gm19080	0	0	0	0	0	1
ENSMUSG00000106159.2	Gm31211	0	0	0	0	0	0
ENSMUSG00000105777.2	Gm43049	0	1	0	0	0	1
ENSMUSG00000095465.3	Gm6214	0	0	0	0	0	0
ENSMUSG00000104790.2	Gm43276	0	0	0	0	0	0
ENSMUSG00000118659.2	Gm32754	0	1	0	0	0	0
ENSMUSG00000106540.2	4930590L14Rik	0	0	0	1	0	0
ENSMUSG00000047674.3	Pdha2	0	0	0	0	0	0
ENSMUSG00000089737.2	Gm15688	0	0	0	7	0	0
ENSMUSG00000059921.16	Unc5c	3	0	0	21	2	2
ENSMUSG00000089924.2	Gm15689	0	0	0	0	0	0
ENSMUSG00000106071.2	Gm43826	0	0	0	1	0	0
ENSMUSG00000052430.16	Bmpr1b	0	1	0	2	3	1
ENSMUSG00000105015.2	Gm6059	72.83	81.17	60.17	51.67	49.83	71.92
ENSMUSG00000028273.16	Pdlim5	1494.50	1175.50	1232.50	1377	1651	1632
ENSMUSG00000105504.5	Gbp5	0	0	16	22.20	4	1
ENSMUSG00000040253.16	Gbp7	364.50	257.50	536	627	249	1074
ENSMUSG00000105338.2	Gm43802	21.50	7.50	41	23	19.50	35.50
ENSMUSG00000028268.15	Gbp3	500	354	689	375	545.50	1037.50
ENSMUSG00000040264.11	Gbp2b	9.50	4.50	24	6	4.50	11
ENSMUSG00000028270.13	Gbp2	761.50	606	2134.50	655.50	409	1491
ENSMUSG00000098871.3	Mir6381	13	5.50	42.50	9.50	4.50	18
ENSMUSG00000105317.3	Gbp2-ps	0	2	0	0	1	0
ENSMUSG00000105170.2	Gm19166	0	0	0	0	0	0
ENSMUSG00000040213.14	Kyat3	143	50.50	79.90	115.80	154.45	18.50
ENSMUSG00000120786.1	ENSMUSG00000120786	0	0	0	0	0.33	0
ENSMUSG00000086561.2	Gm15540	7	2.50	5.50	4	3	6.50
ENSMUSG00000028271.10	Gtf2b	911.50	874	1102.50	623.50	735	1372.50
ENSMUSG00000065130.3	Gm24457	0	0	0	0	0	0
ENSMUSG00000004591.17	Pkn2	225.50	244	275	199	289.50	478
ENSMUSG00000087795.3	Gm25965	0	0	0	7	0	0
ENSMUSG00000106550.2	Gm43646	0.50	0	1	0	0	0
ENSMUSG00000097858.3	9530052C20Rik	0	0	0	1	0	0
ENSMUSG00000105671.2	Gm31306	0	0	0	0	0	0
ENSMUSG00000078162.7	Gm2574	782.74	567.66	660.94	311.55	529.04	721.79
ENSMUSG00000105652.3	4930519L02Rik	1	0	0	2.40	0	2
ENSMUSG00000106052.2	Gm43614	0	0	0	1	0	0
ENSMUSG00000105923.5	A830019L24Rik	0	0	0	3	0	1
ENSMUSG00000106162.2	Gm43613	0	0	0	0	0	0
ENSMUSG00000105917.2	Gm43612	1	1	0	2	0	0
ENSMUSG00000106210.2	1700001N15Rik	0	0	1	0	0	0
ENSMUSG00000105000.2	Gm43616	0	0	0	0	0	0
ENSMUSG00000104939.2	Gm33651	0	0	0	0	0	0
ENSMUSG00000105511.2	Gm33758	0	0	0	0	0	0
ENSMUSG00000103816.2	Gm38006	0	2	0	0	0	0
ENSMUSG00000106109.2	Gm42704	0	0	0	0	0	2
ENSMUSG00000105279.2	Gm6260	0	0	0	1	0	1
ENSMUSG00000088851.3	Gm24728	0	0	0	2	0	0
ENSMUSG00000105324.2	Gm42705	0	0	0	1	1	0
ENSMUSG00000106524.2	Gm42706	0	0	0	3	0	2
ENSMUSG00000105492.2	Gm2505	0	0	0	1	0	0
ENSMUSG00000105811.2	Gm42707	0	0	0	1	1	0
ENSMUSG00000104865.2	Gm42708	0	0	0	1	0	0
ENSMUSG00000106367.2	Gm34078	0	0	0	0	0	0
ENSMUSG00000120269.1	ENSMUSG00000120269	0	0	0	1	0	0
ENSMUSG00000028266.18	Lmo4	334	292	315	356	384	620
ENSMUSG00000104969.2	Gm43445	1	1	0	2	1	2
ENSMUSG00000120266.1	ENSMUSG00000120266	0	0	0	0	16	0
ENSMUSG00000105197.2	Gm43446	0	0	0	0	2	0
ENSMUSG00000106266.2	Gm43447	0	0	0	3	1	0
ENSMUSG00000106416.2	Gm5857	81.65	66.13	58.02	38.85	54.60	111.40
ENSMUSG00000040151.10	Hs2st1	188	225	141	202	173	301
ENSMUSG00000104903.2	Gm43707	0.40	1	0.40	4.20	0.20	0.20
ENSMUSG00000106057.2	Gm43560	7	1	10	0	1	0
ENSMUSG00000037072.17	Selenof	14207.50	11063	10720.50	7085.50	11074.50	13963.50
ENSMUSG00002076123.1	Gm55673	0	0	0	0	0	1
ENSMUSG00000105045.2	Rpl9-ps8	8.20	0.33	0	0	0	0
ENSMUSG00000037062.14	Sh3glb1	3897	4126	3957	2052	2990	4588
ENSMUSG00000106089.2	Gm9419	9.00	8.67	9.17	9.75	14.58	16.67
ENSMUSG00000056025.13	Clca3a1	0	1.67	0	6.25	0	2
ENSMUSG00000106424.2	Gm34866	0	0	0	0.75	0	0
ENSMUSG00000104841.2	Gm17743	0	0	0	1	0	0
ENSMUSG00000028262.14	Clca3a2	0	0.33	0	4.25	0	1
ENSMUSG00000105900.2	Gm43240	0	0	0	0.25	0	0
ENSMUSG00000037033.10	Clca3b	0	0.33	0	4.00	1	0
ENSMUSG00000089950.3	Gm16215	0	0	0	0	0	0
ENSMUSG00000074196.12	Clca4c-ps	0	0.50	0	2.50	1	0.50
ENSMUSG00000121400.1	Clca4c-ps	0	0	0	0.50	0	0.50
ENSMUSG00000074195.4	Clca4b	0	2.50	0	2	1	1
ENSMUSG00000085773.5	Gm16233	0	0	0	0.25	0	0
ENSMUSG00000068547.8	Clca4a	0	0	0	0.75	0	0
ENSMUSG00000106361.2	Gm35066	0	0	0	4	1	2
ENSMUSG00000028255.7	Clca1	0	0	0	3	0	0
ENSMUSG00000036960.11	Clca2	0	1	0	5	2	0
ENSMUSG00000028256.17	Odf2l	37	54	201	108	184	150
ENSMUSG00000028197.5	Col24a1	0	0	1	3	8	2
ENSMUSG00000105619.2	9530034A14Rik	0	0	0	3	0	0
ENSMUSG00000105959.2	D530037P16Rik	0	0	0	0	0	0
ENSMUSG00000074182.9	Znhit6	221.50	266	175	236.50	161	286.50
ENSMUSG00000028195.5	Ccn1	7	5	5	116	43	173
ENSMUSG00000097183.4	Gm17501	0	1	0	34	0	1
ENSMUSG00000105608.2	Gm43408	0	1	0	0	0	0
ENSMUSG00000028194.16	Ddah1	1	1	0	5	2	3
ENSMUSG00000105388.2	Rpl36a-ps2	492.43	426.80	298.62	268.32	422.56	766.98
ENSMUSG00000028191.12	Bcl10	876	541.50	678.50	759	1206.50	1235
ENSMUSG00000036873.14	2410004B18Rik	154	97.50	50	106	83.50	121
ENSMUSG00000036863.13	Syde2	0	0	0	15	3	3
ENSMUSG00000105146.2	Gm35409	0	0	2	2.20	0	1
ENSMUSG00000043020.14	Dnai3	0	1	0	2	3	2
ENSMUSG00000065937.4	Gm25627	0	0	0	0	0	0
ENSMUSG00000036853.6	Mcoln3	1454	1287	1545	663	347	233
ENSMUSG00000011008.14	Mcoln2	959	431	872	726	554	399
ENSMUSG00000036832.6	Lpar3	0	2	0	28	12	31
ENSMUSG00000105209.2	Gm43334	0	0	3	0	1	0
ENSMUSG00000105602.2	Gm10636	0	0.20	0	5	5	2
ENSMUSG00000088218.3	Gm22078	0	0	0	1	0	0
ENSMUSG00002075872.1	Gm55818	0	1	0	0	0	0
ENSMUSG00000036825.13	Ssx2ip	135	168	166	293	256	359
ENSMUSG00000028189.13	Ctbs	779.50	698	728.75	581.50	857.75	565
ENSMUSG00000028188.14	Spata1	72.50	90	74	114.50	90.50	56.20
ENSMUSG00000068523.13	Gng5	6693.27	5369.21	4038.84	3322.31	4385.01	8494.30
ENSMUSG00000028187.11	Rpf1	317	405	324	221	330	713
ENSMUSG00000105407.2	Gm36259	0	0	0	0	0	0
ENSMUSG00000028186.15	Uox	0	1	1	5	0	3
ENSMUSG00000028185.13	Dnase2b	2	1	1	2	0	3
ENSMUSG00000085810.8	Gm16325	0	0	0	4.50	0	0
ENSMUSG00000090202.2	4930503B20Rik	0	0	0	4	0	0
ENSMUSG00000048652.13	Samd13	0.20	0	0	1.50	1	0
ENSMUSG00000105529.2	Gm9480	71.80	56.40	59.60	56.20	66.20	88.60
ENSMUSG00000005034.16	Prkacb	535	974	982	820	830	1012
ENSMUSG00000104946.2	Gm19104	0	0	0	1	0	0
ENSMUSG00000070343.4	Gm10288	1210.69	1037.39	837.83	532.23	928.11	1832.89
ENSMUSG00000036745.16	Ttll7	0	3	0	8	3	2
ENSMUSG00000103334.2	Gm29771	1	0	0	4	2	0
ENSMUSG00000103099.2	Gm6074	0	0	0	0	1	0
ENSMUSG00000106023.2	Gm36831	0	0	0	0	0	0
ENSMUSG00000103302.2	Gm37803	0	1	0	1	0	0
ENSMUSG00000102569.2	Gm37041	0	0	0	0	0	0
ENSMUSG00000103349.2	Gm36888	2	1	0	0	1.20	0
ENSMUSG00000106285.2	Gm43574	0	0	0	1	0	0.20
ENSMUSG00000077441.3	Gm23131	0	0	0	0	0	0
ENSMUSG00000105718.2	Gm43576	0	0	0	0	0	0
ENSMUSG00000103566.2	Gm38068	0	0	0	1	0	1
ENSMUSG00000105934.2	Gm43575	0	0	0	1	1	0
ENSMUSG00000028184.13	Adgrl2	51	142	167	23	49	12.50
ENSMUSG00000104786.2	Gm43573	0	4	5	21	0	8.50
ENSMUSG00000105876.2	Gm43572	0	0	0	0	0	0
ENSMUSG00000118723.1	Gm25127	0.40	0	0	0	0.20	0.20
ENSMUSG00000105357.2	Gm42647	6.93	2.80	3.00	1.40	3.80	3.80
ENSMUSG00000070342.4	Gm10287	0.20	0.20	0.20	0.20	0	0
ENSMUSG00000106515.6	Gm30382	1	2	0	3	2	2
ENSMUSG00000105797.2	Gm5149	0	0	2	6	0	0
ENSMUSG00000089269.3	Gm26468	0	0	0	0	0	0
ENSMUSG00000104785.2	Gm31121	0	0	0	0	0	0
ENSMUSG00000047676.7	Rpsa-ps10	1354.57	1259.67	1142.82	1006.44	1217.20	2021.03
ENSMUSG00000105779.2	Gm6439	143.12	112.00	121.85	260.41	174.32	165.60
ENSMUSG00000105190.2	Gm43470	0	0	0	0	0	0
ENSMUSG00000092830.3	Mir3963	0	0	0	0	0	0
ENSMUSG00000105125.2	Gm43468	0	0	0	0	0	0
ENSMUSG00000105425.2	Gm43469	0	0	0	2.20	1.20	0.20
ENSMUSG00000104816.2	Gm43473	0	0	0	4	1	0
ENSMUSG00000106157.3	4930555A03Rik	141	124	92	9	44	79
ENSMUSG00000105401.2	Gm42949	0	0.20	0	2.25	0	0.40
ENSMUSG00000039167.13	Adgrl4	0.20	1.20	0	7	0.20	0
ENSMUSG00000118687.1	Gm24458	0	0	0.20	0	0.20	0.70
ENSMUSG00000028037.14	Ifi44	139	3	106	45	242	652.50
ENSMUSG00000039146.6	Ifi44l	0	1	0	1	1	0
ENSMUSG00000028036.7	Ptgfr	0	1	0	5.20	2	2.20
ENSMUSG00000105403.2	Gm43618	0	0	0	2	1	4
ENSMUSG00000104909.2	Gm43617	0	0	0	0	1	0
ENSMUSG00000087997.3	Gm25056	0	0	0	0	0	0
ENSMUSG00000104770.2	Gm2939	0	0	0	0	0	0
ENSMUSG00000104725.2	Gm2860	0	0	0	0	0	0
ENSMUSG00000104659.2	Gm31739	1	0	1	0	2	0
ENSMUSG00000105035.2	Gm9682	0	0	0	0	0	0
ENSMUSG00000039131.16	Gipc2	1.70	21	19	1.50	2	0
ENSMUSG00000105698.2	Gm31881	0.50	1	0	0	0	0
ENSMUSG00000084343.2	Gm16198	4.60	4.20	3.25	1.60	4.80	4.90
ENSMUSG00000097293.2	D630002J18Rik	0	0	0	0.50	0	0
ENSMUSG00000028035.14	Dnajb4	169	261	211	580	671	1399
ENSMUSG00000028034.16	Fubp1	1301.90	719.20	618	1245.30	1024.10	1750.10
ENSMUSG00000039103.13	Nexn	0	0	19	40.50	2	0
ENSMUSG00000104621.2	Gm43185	0	0	0	3	0	0.20
ENSMUSG00000054942.14	Miga1	89.93	106.00	53.60	119.45	71.50	103.10
ENSMUSG00000025437.16	Usp33	132	123	235.00	227.77	106.83	137.23
ENSMUSG00000104822.2	Gm42967	7.50	6	16.50	13.17	13.83	4.33
ENSMUSG00000105710.2	Gm43859	8.50	1.50	20.00	8.67	3.83	8.83
ENSMUSG00000104546.2	Gm43858	0	0	0	0	0	0
ENSMUSG00000104548.2	Gm43857	61	125.50	130.50	102	66.50	90
ENSMUSG00000039068.17	Zzz3	260.17	182.67	109.83	166.08	162.25	239.25
ENSMUSG00000039058.12	Ak5	0	0	0	2	0	3.50
ENSMUSG00000097745.2	AI115009	0	0	0	1	1	1
ENSMUSG00000119993.1	ENSMUSG00000119993	0	0	0	5	0	0
ENSMUSG00000039047.18	Pigk	2457.00	1884.20	2484.00	1881.60	1602.10	2219.60
ENSMUSG00000090095.2	Rpl29-ps1	0	0	0	0	0.50	0
ENSMUSG00000039037.6	St6galnac5	4	1	4	4	6	5
ENSMUSG00000090040.2	Gm16232	0	0	0	0	0	0
ENSMUSG00000090017.3	Gm16213	0	2	0	0	0	0
ENSMUSG00000090163.2	Gm16231	0	0	0	0	0	0
ENSMUSG00000105894.2	Gm42710	0	0	0	0	0	0
ENSMUSG00000105337.5	1700094M23Rik	0	1	0	1	0	0
ENSMUSG00000052544.10	St6galnac3	0	1.60	0.40	3	3.20	7
ENSMUSG00000105023.2	1700012D16Rik	0	1	0	0	2	0
ENSMUSG00000106024.2	A530083M17Rik	1	0	0	4	0	0
ENSMUSG00002075751.1	Gm54661	0	0	0	0	0	0
ENSMUSG00000104908.2	1700015C17Rik	0	0	0	0	0	0
ENSMUSG00000104964.2	4930597L12Rik	0	0	0	1	0	0
ENSMUSG00002076290.1	Gm54662	0	0	0	0	2	0
ENSMUSG00000089237.3	Gm22206	0	0	0	3	0	0
ENSMUSG00000106011.2	Gm43833	0	0	0	1	0	0
ENSMUSG00000058508.2	Gm10042	0	0.20	0	0	0	0.20
ENSMUSG00000062046.2	5730460C07Rik	0	0	0	0	2	0
ENSMUSG00000077174.3	Gm25757	0	0	0	0	0	0
ENSMUSG00000086438.4	Asb17os	0	0	0	2	1	1
ENSMUSG00000038997.5	Asb17	1	3	0	0	2	0
ENSMUSG00000005493.16	Msh4	0.20	1	0.20	11.20	7	5.20
ENSMUSG00000088764.3	Gm24395	0	0	0	0	0	0
ENSMUSG00000038975.15	Rabggtb	1052	919	968.50	841	706	1130.50
ENSMUSG00000064731.3	Snord45b	1.50	0	1.50	3	0	3.50
ENSMUSG00000065738.3	Gm24494	0	1	0	3	0	0
ENSMUSG00000065463.3	Snord45c	0.50	0	0	1	0	0
ENSMUSG00000105820.2	Gm43400	0	0	0	0	0	1
ENSMUSG00000062908.13	Acadm	2114.83	2014.33	1912.17	1552.00	1655.67	2041.33
ENSMUSG00000028360.11	Slc44a5	0	0	1	21	2	3
ENSMUSG00000090114.2	Gm3076	311.16	214.76	251.33	140.11	167.81	319.98
ENSMUSG00000104622.2	Gm42541	0	0	2	2	0	0
ENSMUSG00000106500.2	Gm42540	0	0	0	0	1	2
ENSMUSG00000096225.8	Lhx8	0	0	0	6	0	0
ENSMUSG00000093738.3	AI606473	0	0	1	4	3	0
ENSMUSG00000047583.10	Tyw3	119	55.50	19.50	5	4	166.00
ENSMUSG00000028199.19	Cryz	280	130.50	305.50	161	167	29
ENSMUSG00000103204.2	Gm38139	0	1	0	0	0	0
ENSMUSG00000078161.9	Erich3	2	4	2	10	4	3
ENSMUSG00000092522.2	Gm20389	0	0	0	0	0	2
ENSMUSG00000040086.14	Tnni3k	0	18	0	2	2	0
ENSMUSG00000118443.2	Gm18589	1	0	0	0	0	0
ENSMUSG00000102238.2	Gm37890	0	0	0	2	0	0
ENSMUSG00000053870.8	Fpgt	214	204	247	101	180	285
ENSMUSG00000064765.4	Gm26456	0	0	0	0	0	0
ENSMUSG00000028182.15	Lrriq3	4	0	17	1	74	1
ENSMUSG00000104122.2	Gm37482	0	0	0	1	1	1.20
